PING 10.42.0.3 (10.42.0.3) 56(84) bytes of data.
64 bytes from 10.42.0.3: icmp_seq=94 ttl=64 time=311 ms
64 bytes from 10.42.0.3: icmp_seq=95 ttl=64 time=1760 ms
64 bytes from 10.42.0.3: icmp_seq=96 ttl=64 time=1138 ms
64 bytes from 10.42.0.3: icmp_seq=97 ttl=64 time=953 ms
64 bytes from 10.42.0.3: icmp_seq=98 ttl=64 time=109 ms
64 bytes from 10.42.0.3: icmp_seq=99 ttl=64 time=390 ms
64 bytes from 10.42.0.3: icmp_seq=100 ttl=64 time=89.4 ms
64 bytes from 10.42.0.3: icmp_seq=101 ttl=64 time=210 ms
64 bytes from 10.42.0.3: icmp_seq=102 ttl=64 time=44.6 ms
64 bytes from 10.42.0.3: icmp_seq=103 ttl=64 time=133 ms
64 bytes from 10.42.0.3: icmp_seq=104 ttl=64 time=33.8 ms
64 bytes from 10.42.0.3: icmp_seq=105 ttl=64 time=2.70 ms
64 bytes from 10.42.0.3: icmp_seq=106 ttl=64 time=54.7 ms
64 bytes from 10.42.0.3: icmp_seq=107 ttl=64 time=32.0 ms
64 bytes from 10.42.0.3: icmp_seq=108 ttl=64 time=135 ms
64 bytes from 10.42.0.3: icmp_seq=109 ttl=64 time=52.5 ms
64 bytes from 10.42.0.3: icmp_seq=110 ttl=64 time=122 ms
64 bytes from 10.42.0.3: icmp_seq=111 ttl=64 time=777 ms
64 bytes from 10.42.0.3: icmp_seq=112 ttl=64 time=13.4 ms
64 bytes from 10.42.0.3: icmp_seq=113 ttl=64 time=432 ms
64 bytes from 10.42.0.3: icmp_seq=114 ttl=64 time=419 ms
64 bytes from 10.42.0.3: icmp_seq=115 ttl=64 time=16.3 ms
64 bytes from 10.42.0.3: icmp_seq=116 ttl=64 time=183 ms
64 bytes from 10.42.0.3: icmp_seq=118 ttl=64 time=55.8 ms
64 bytes from 10.42.0.3: icmp_seq=119 ttl=64 time=330 ms
64 bytes from 10.42.0.3: icmp_seq=120 ttl=64 time=342 ms
64 bytes from 10.42.0.3: icmp_seq=121 ttl=64 time=394 ms
64 bytes from 10.42.0.3: icmp_seq=122 ttl=64 time=730 ms
64 bytes from 10.42.0.3: icmp_seq=124 ttl=64 time=320 ms
64 bytes from 10.42.0.3: icmp_seq=125 ttl=64 time=11.4 ms
64 bytes from 10.42.0.3: icmp_seq=126 ttl=64 time=42.8 ms
64 bytes from 10.42.0.3: icmp_seq=127 ttl=64 time=155 ms
64 bytes from 10.42.0.3: icmp_seq=128 ttl=64 time=18.3 ms
64 bytes from 10.42.0.3: icmp_seq=129 ttl=64 time=53.4 ms
64 bytes from 10.42.0.3: icmp_seq=130 ttl=64 time=9.36 ms
64 bytes from 10.42.0.3: icmp_seq=131 ttl=64 time=13.6 ms
64 bytes from 10.42.0.3: icmp_seq=132 ttl=64 time=45.5 ms
64 bytes from 10.42.0.3: icmp_seq=133 ttl=64 time=384 ms
64 bytes from 10.42.0.3: icmp_seq=134 ttl=64 time=14.6 ms
64 bytes from 10.42.0.3: icmp_seq=135 ttl=64 time=3.65 ms
64 bytes from 10.42.0.3: icmp_seq=136 ttl=64 time=25.6 ms
64 bytes from 10.42.0.3: icmp_seq=137 ttl=64 time=47.9 ms
64 bytes from 10.42.0.3: icmp_seq=138 ttl=64 time=16.9 ms
64 bytes from 10.42.0.3: icmp_seq=139 ttl=64 time=111 ms
64 bytes from 10.42.0.3: icmp_seq=140 ttl=64 time=150 ms
64 bytes from 10.42.0.3: icmp_seq=141 ttl=64 time=232 ms
64 bytes from 10.42.0.3: icmp_seq=142 ttl=64 time=160 ms
64 bytes from 10.42.0.3: icmp_seq=143 ttl=64 time=890 ms
64 bytes from 10.42.0.3: icmp_seq=144 ttl=64 time=13.3 ms
64 bytes from 10.42.0.3: icmp_seq=145 ttl=64 time=913 ms
64 bytes from 10.42.0.3: icmp_seq=146 ttl=64 time=1542 ms
64 bytes from 10.42.0.3: icmp_seq=147 ttl=64 time=1364 ms
64 bytes from 10.42.0.3: icmp_seq=148 ttl=64 time=1568 ms
64 bytes from 10.42.0.3: icmp_seq=149 ttl=64 time=662 ms
64 bytes from 10.42.0.3: icmp_seq=150 ttl=64 time=27.6 ms
64 bytes from 10.42.0.3: icmp_seq=151 ttl=64 time=76.6 ms
64 bytes from 10.42.0.3: icmp_seq=152 ttl=64 time=626 ms
64 bytes from 10.42.0.3: icmp_seq=153 ttl=64 time=20.2 ms
64 bytes from 10.42.0.3: icmp_seq=154 ttl=64 time=19.4 ms
64 bytes from 10.42.0.3: icmp_seq=155 ttl=64 time=38.0 ms
64 bytes from 10.42.0.3: icmp_seq=156 ttl=64 time=211 ms
64 bytes from 10.42.0.3: icmp_seq=158 ttl=64 time=19.4 ms
64 bytes from 10.42.0.3: icmp_seq=159 ttl=64 time=150 ms
64 bytes from 10.42.0.3: icmp_seq=160 ttl=64 time=523 ms
64 bytes from 10.42.0.3: icmp_seq=161 ttl=64 time=724 ms
64 bytes from 10.42.0.3: icmp_seq=162 ttl=64 time=406 ms
64 bytes from 10.42.0.3: icmp_seq=163 ttl=64 time=60.2 ms
64 bytes from 10.42.0.3: icmp_seq=164 ttl=64 time=513 ms
64 bytes from 10.42.0.3: icmp_seq=165 ttl=64 time=63.9 ms
64 bytes from 10.42.0.3: icmp_seq=166 ttl=64 time=110 ms
64 bytes from 10.42.0.3: icmp_seq=167 ttl=64 time=78.9 ms
64 bytes from 10.42.0.3: icmp_seq=168 ttl=64 time=2.13 ms
64 bytes from 10.42.0.3: icmp_seq=169 ttl=64 time=21.1 ms
64 bytes from 10.42.0.3: icmp_seq=171 ttl=64 time=2016 ms
64 bytes from 10.42.0.3: icmp_seq=172 ttl=64 time=1303 ms
64 bytes from 10.42.0.3: icmp_seq=173 ttl=64 time=813 ms
