time,/actor1/acceleration_data,/actor1/distance_data,/actor1/imu_data,/actor1/velocity_data
1721062432.656194,0.03907535578468794,0.5336705577711917,0.006200000000000001,0.011895839669426625
1721062432.7562542,0.04612640259388402,0.5336632184967773,0.006,0.016508479928815028
1721062432.8566341,-0.08248715235794857,0.5321269562265736,0.006,0.00825976469302017
1721062432.9563088,0.07810885029153389,0.5328279075796835,0.0058000000000000005,0.01607064972217356
1721062433.0563045,0.04730221331130397,0.5326388998122343,0.0068000000000000005,0.020800871053303957
1721062433.1563463,0.05552043916515752,0.5344236216084054,0.006200000000000001,0.02635291496981971
1721062433.256552,-0.01962338151360956,0.5357403001034212,0.0066,0.024390576818458753
1721062433.3562403,-0.10788211834789233,0.5336425595384647,0.0066,0.01360236498366952
1721062433.456356,0.2183002339894211,0.5323195673650567,0.006,0.03543238838261163
1721062433.5563698,0.11273005041728623,0.5304126631148158,0.006200000000000001,0.046705393424340255
1721062433.656155,-0.2595315671546308,0.5267797569106419,0.0066,0.020752236708877173
1721062433.7561777,0.168767936670191,0.525507715208061,0.006200000000000001,0.03762903037589627
1721062433.8561962,-0.14997366640746587,0.5206552773735468,0.006200000000000001,0.022631663735149684
1721062433.956149,0.27668943437947874,0.5173769856353673,0.0068000000000000005,0.05030060717309756
1721062434.0560436,-0.05231170013320449,0.5142045745940756,0.006,0.04506943715977711
1721062434.1561458,-0.13327338181725268,0.5118639997367099,0.0068000000000000005,0.031742098978051844
1721062434.2560105,-0.00023212685340966155,0.5096019759952187,0.006200000000000001,0.03171888629271088
1721062434.3560872,0.05572486217034975,0.509417414483441,0.006,0.03729137250974585
1721062434.456059,-0.1731251177399086,0.5083337762167297,0.006,0.019978860735754993
1721062434.556341,-0.028429846618503347,0.5082195939120382,0.006200000000000001,0.017135876073904658
1721062434.6562138,-0.0846348006882722,0.5088298354175927,0.0066,0.008672396005077437
1721062434.7560732,0.13645221053019693,0.5081773143667694,0.006,0.022317617058097133
1721062434.856034,-0.010479757100054117,0.5081615936107072,0.006,0.02126964134809172
1721062434.95606,0.15548483246907316,0.5081304733508478,0.006,0.03681812459499904
1721062435.0561733,0.109746720026501,0.5090591079382759,0.006,0.04779279659764914
1721062435.1560717,-0.07246476181203478,0.5086462182184192,0.0058000000000000005,0.04054632041644566
1721062435.2559159,0.14359491945431893,0.5072267280433683,0.007,0.054905812361877554
1721062435.3560603,-0.0937315574347345,0.5084586205577879,0.006200000000000001,0.0455326566184041
1721062435.4560423,0.13380084582707819,0.5090477132789017,0.0068000000000000005,0.05891274120111192
1721062435.5561488,0.10047854479044493,0.5117355838238226,0.006,0.06896059568015642
1721062435.6561897,-0.08866292267735054,0.512892938551984,0.0066,0.06009430341242136
