PING 10.42.0.3 (10.42.0.3) 56(84) bytes of data.
64 bytes from 10.42.0.3: icmp_seq=81 ttl=64 time=441 ms
64 bytes from 10.42.0.3: icmp_seq=82 ttl=64 time=20.0 ms
64 bytes from 10.42.0.3: icmp_seq=83 ttl=64 time=1.67 ms
64 bytes from 10.42.0.3: icmp_seq=84 ttl=64 time=930 ms
64 bytes from 10.42.0.3: icmp_seq=85 ttl=64 time=1.96 ms
64 bytes from 10.42.0.3: icmp_seq=86 ttl=64 time=501 ms
64 bytes from 10.42.0.3: icmp_seq=87 ttl=64 time=533 ms
64 bytes from 10.42.0.3: icmp_seq=88 ttl=64 time=11.8 ms
64 bytes from 10.42.0.3: icmp_seq=89 ttl=64 time=11.3 ms
64 bytes from 10.42.0.3: icmp_seq=90 ttl=64 time=2.01 ms
64 bytes from 10.42.0.3: icmp_seq=91 ttl=64 time=1.84 ms
64 bytes from 10.42.0.3: icmp_seq=92 ttl=64 time=3.04 ms
64 bytes from 10.42.0.3: icmp_seq=93 ttl=64 time=12.4 ms
64 bytes from 10.42.0.3: icmp_seq=94 ttl=64 time=2.20 ms
64 bytes from 10.42.0.3: icmp_seq=95 ttl=64 time=12.9 ms
64 bytes from 10.42.0.3: icmp_seq=96 ttl=64 time=5.11 ms
64 bytes from 10.42.0.3: icmp_seq=97 ttl=64 time=1.91 ms
64 bytes from 10.42.0.3: icmp_seq=98 ttl=64 time=4.11 ms
64 bytes from 10.42.0.3: icmp_seq=99 ttl=64 time=1.68 ms
64 bytes from 10.42.0.3: icmp_seq=100 ttl=64 time=3.49 ms
64 bytes from 10.42.0.3: icmp_seq=101 ttl=64 time=4.17 ms
64 bytes from 10.42.0.3: icmp_seq=102 ttl=64 time=1.71 ms
64 bytes from 10.42.0.3: icmp_seq=103 ttl=64 time=1084 ms
64 bytes from 10.42.0.3: icmp_seq=104 ttl=64 time=58.7 ms
64 bytes from 10.42.0.3: icmp_seq=105 ttl=64 time=368 ms
64 bytes from 10.42.0.3: icmp_seq=106 ttl=64 time=16.1 ms
64 bytes from 10.42.0.3: icmp_seq=107 ttl=64 time=2.44 ms
64 bytes from 10.42.0.3: icmp_seq=108 ttl=64 time=5.05 ms
64 bytes from 10.42.0.3: icmp_seq=109 ttl=64 time=2.34 ms
64 bytes from 10.42.0.3: icmp_seq=110 ttl=64 time=39.1 ms
64 bytes from 10.42.0.3: icmp_seq=111 ttl=64 time=15.1 ms
64 bytes from 10.42.0.3: icmp_seq=112 ttl=64 time=38.0 ms
64 bytes from 10.42.0.3: icmp_seq=113 ttl=64 time=60.4 ms
64 bytes from 10.42.0.3: icmp_seq=114 ttl=64 time=2.07 ms
64 bytes from 10.42.0.3: icmp_seq=115 ttl=64 time=13.0 ms
64 bytes from 10.42.0.3: icmp_seq=116 ttl=64 time=2.38 ms
64 bytes from 10.42.0.3: icmp_seq=117 ttl=64 time=974 ms
64 bytes from 10.42.0.3: icmp_seq=118 ttl=64 time=4.40 ms
64 bytes from 10.42.0.3: icmp_seq=119 ttl=64 time=1.98 ms
64 bytes from 10.42.0.3: icmp_seq=120 ttl=64 time=3.76 ms
64 bytes from 10.42.0.3: icmp_seq=121 ttl=64 time=1.70 ms
64 bytes from 10.42.0.3: icmp_seq=122 ttl=64 time=1.67 ms
64 bytes from 10.42.0.3: icmp_seq=123 ttl=64 time=2.12 ms
64 bytes from 10.42.0.3: icmp_seq=124 ttl=64 time=2.71 ms
64 bytes from 10.42.0.3: icmp_seq=125 ttl=64 time=2.87 ms
64 bytes from 10.42.0.3: icmp_seq=126 ttl=64 time=6.22 ms
64 bytes from 10.42.0.3: icmp_seq=127 ttl=64 time=6.04 ms
64 bytes from 10.42.0.3: icmp_seq=128 ttl=64 time=1007 ms
64 bytes from 10.42.0.3: icmp_seq=129 ttl=64 time=17.7 ms
64 bytes from 10.42.0.3: icmp_seq=130 ttl=64 time=1.94 ms
64 bytes from 10.42.0.3: icmp_seq=131 ttl=64 time=10.6 ms
64 bytes from 10.42.0.3: icmp_seq=132 ttl=64 time=1.76 ms
64 bytes from 10.42.0.3: icmp_seq=133 ttl=64 time=1.68 ms
64 bytes from 10.42.0.3: icmp_seq=134 ttl=64 time=1005 ms
64 bytes from 10.42.0.3: icmp_seq=135 ttl=64 time=3.44 ms
64 bytes from 10.42.0.3: icmp_seq=136 ttl=64 time=576 ms
