PING 10.42.0.3 (10.42.0.3) 56(84) bytes of data.
64 bytes from 10.42.0.3: icmp_seq=1 ttl=64 time=7.18 ms
64 bytes from 10.42.0.3: icmp_seq=2 ttl=64 time=1.79 ms
64 bytes from 10.42.0.3: icmp_seq=3 ttl=64 time=1.73 ms
64 bytes from 10.42.0.3: icmp_seq=4 ttl=64 time=8.17 ms
64 bytes from 10.42.0.3: icmp_seq=5 ttl=64 time=1.28 ms
64 bytes from 10.42.0.3: icmp_seq=6 ttl=64 time=5.84 ms
64 bytes from 10.42.0.3: icmp_seq=7 ttl=64 time=2.50 ms
64 bytes from 10.42.0.3: icmp_seq=8 ttl=64 time=3.71 ms
64 bytes from 10.42.0.3: icmp_seq=9 ttl=64 time=1.27 ms
64 bytes from 10.42.0.3: icmp_seq=10 ttl=64 time=2.98 ms
64 bytes from 10.42.0.3: icmp_seq=11 ttl=64 time=3.03 ms
64 bytes from 10.42.0.3: icmp_seq=12 ttl=64 time=3.33 ms
64 bytes from 10.42.0.3: icmp_seq=13 ttl=64 time=1.59 ms
64 bytes from 10.42.0.3: icmp_seq=14 ttl=64 time=1.49 ms
64 bytes from 10.42.0.3: icmp_seq=15 ttl=64 time=1.18 ms
64 bytes from 10.42.0.3: icmp_seq=16 ttl=64 time=1.43 ms
64 bytes from 10.42.0.3: icmp_seq=17 ttl=64 time=1.53 ms
64 bytes from 10.42.0.3: icmp_seq=18 ttl=64 time=5.73 ms
64 bytes from 10.42.0.3: icmp_seq=19 ttl=64 time=1.39 ms
64 bytes from 10.42.0.3: icmp_seq=20 ttl=64 time=1.18 ms
64 bytes from 10.42.0.3: icmp_seq=21 ttl=64 time=1.20 ms
64 bytes from 10.42.0.3: icmp_seq=22 ttl=64 time=1.20 ms
64 bytes from 10.42.0.3: icmp_seq=23 ttl=64 time=3.90 ms
64 bytes from 10.42.0.3: icmp_seq=24 ttl=64 time=8.28 ms
64 bytes from 10.42.0.3: icmp_seq=25 ttl=64 time=11.8 ms
64 bytes from 10.42.0.3: icmp_seq=26 ttl=64 time=2.95 ms
64 bytes from 10.42.0.3: icmp_seq=27 ttl=64 time=1.20 ms
64 bytes from 10.42.0.3: icmp_seq=28 ttl=64 time=1.79 ms
64 bytes from 10.42.0.3: icmp_seq=29 ttl=64 time=2.44 ms
64 bytes from 10.42.0.3: icmp_seq=30 ttl=64 time=2.64 ms
64 bytes from 10.42.0.3: icmp_seq=31 ttl=64 time=2.35 ms
64 bytes from 10.42.0.3: icmp_seq=32 ttl=64 time=3.67 ms
64 bytes from 10.42.0.3: icmp_seq=33 ttl=64 time=1.32 ms
64 bytes from 10.42.0.3: icmp_seq=34 ttl=64 time=1.16 ms
64 bytes from 10.42.0.3: icmp_seq=35 ttl=64 time=8.59 ms
64 bytes from 10.42.0.3: icmp_seq=36 ttl=64 time=1.73 ms
64 bytes from 10.42.0.3: icmp_seq=37 ttl=64 time=1.52 ms
64 bytes from 10.42.0.3: icmp_seq=38 ttl=64 time=2.63 ms
