PING 10.42.0.3 (10.42.0.3) 56(84) bytes of data.
64 bytes from 10.42.0.3: icmp_seq=83 ttl=64 time=25.3 ms
64 bytes from 10.42.0.3: icmp_seq=84 ttl=64 time=229 ms
64 bytes from 10.42.0.3: icmp_seq=85 ttl=64 time=25.1 ms
64 bytes from 10.42.0.3: icmp_seq=86 ttl=64 time=217 ms
64 bytes from 10.42.0.3: icmp_seq=87 ttl=64 time=329 ms
64 bytes from 10.42.0.3: icmp_seq=88 ttl=64 time=18.2 ms
64 bytes from 10.42.0.3: icmp_seq=89 ttl=64 time=90.1 ms
64 bytes from 10.42.0.3: icmp_seq=90 ttl=64 time=671 ms
64 bytes from 10.42.0.3: icmp_seq=91 ttl=64 time=173 ms
64 bytes from 10.42.0.3: icmp_seq=92 ttl=64 time=913 ms
64 bytes from 10.42.0.3: icmp_seq=93 ttl=64 time=160 ms
64 bytes from 10.42.0.3: icmp_seq=94 ttl=64 time=125 ms
64 bytes from 10.42.0.3: icmp_seq=95 ttl=64 time=674 ms
64 bytes from 10.42.0.3: icmp_seq=96 ttl=64 time=288 ms
64 bytes from 10.42.0.3: icmp_seq=97 ttl=64 time=129 ms
64 bytes from 10.42.0.3: icmp_seq=98 ttl=64 time=604 ms
64 bytes from 10.42.0.3: icmp_seq=99 ttl=64 time=140 ms
64 bytes from 10.42.0.3: icmp_seq=100 ttl=64 time=916 ms
64 bytes from 10.42.0.3: icmp_seq=101 ttl=64 time=50.8 ms
64 bytes from 10.42.0.3: icmp_seq=102 ttl=64 time=133 ms
64 bytes from 10.42.0.3: icmp_seq=103 ttl=64 time=53.5 ms
64 bytes from 10.42.0.3: icmp_seq=104 ttl=64 time=40.4 ms
64 bytes from 10.42.0.3: icmp_seq=105 ttl=64 time=211 ms
64 bytes from 10.42.0.3: icmp_seq=106 ttl=64 time=13.1 ms
64 bytes from 10.42.0.3: icmp_seq=107 ttl=64 time=13.7 ms
64 bytes from 10.42.0.3: icmp_seq=108 ttl=64 time=331 ms
64 bytes from 10.42.0.3: icmp_seq=109 ttl=64 time=68.3 ms
64 bytes from 10.42.0.3: icmp_seq=110 ttl=64 time=313 ms
64 bytes from 10.42.0.3: icmp_seq=111 ttl=64 time=163 ms
64 bytes from 10.42.0.3: icmp_seq=112 ttl=64 time=13.8 ms
