PING 10.42.0.3 (10.42.0.3) 56(84) bytes of data.
64 bytes from 10.42.0.3: icmp_seq=1 ttl=64 time=1.16 ms
64 bytes from 10.42.0.3: icmp_seq=2 ttl=64 time=1.23 ms
64 bytes from 10.42.0.3: icmp_seq=3 ttl=64 time=1.13 ms
64 bytes from 10.42.0.3: icmp_seq=4 ttl=64 time=1.04 ms
64 bytes from 10.42.0.3: icmp_seq=5 ttl=64 time=1.36 ms
64 bytes from 10.42.0.3: icmp_seq=6 ttl=64 time=1.06 ms
64 bytes from 10.42.0.3: icmp_seq=7 ttl=64 time=2.36 ms
64 bytes from 10.42.0.3: icmp_seq=8 ttl=64 time=2.13 ms
64 bytes from 10.42.0.3: icmp_seq=9 ttl=64 time=1.03 ms
64 bytes from 10.42.0.3: icmp_seq=10 ttl=64 time=0.987 ms
64 bytes from 10.42.0.3: icmp_seq=11 ttl=64 time=0.926 ms
64 bytes from 10.42.0.3: icmp_seq=12 ttl=64 time=0.942 ms
64 bytes from 10.42.0.3: icmp_seq=13 ttl=64 time=1.29 ms
64 bytes from 10.42.0.3: icmp_seq=14 ttl=64 time=1.01 ms
64 bytes from 10.42.0.3: icmp_seq=15 ttl=64 time=1.02 ms
64 bytes from 10.42.0.3: icmp_seq=16 ttl=64 time=4.44 ms
64 bytes from 10.42.0.3: icmp_seq=17 ttl=64 time=1.04 ms
64 bytes from 10.42.0.3: icmp_seq=18 ttl=64 time=1.04 ms
64 bytes from 10.42.0.3: icmp_seq=19 ttl=64 time=1.02 ms
64 bytes from 10.42.0.3: icmp_seq=20 ttl=64 time=1.03 ms
64 bytes from 10.42.0.3: icmp_seq=21 ttl=64 time=1.13 ms
64 bytes from 10.42.0.3: icmp_seq=22 ttl=64 time=0.968 ms
64 bytes from 10.42.0.3: icmp_seq=23 ttl=64 time=2.88 ms
64 bytes from 10.42.0.3: icmp_seq=24 ttl=64 time=0.932 ms
64 bytes from 10.42.0.3: icmp_seq=25 ttl=64 time=1.05 ms
64 bytes from 10.42.0.3: icmp_seq=26 ttl=64 time=1.02 ms
64 bytes from 10.42.0.3: icmp_seq=27 ttl=64 time=1.02 ms
64 bytes from 10.42.0.3: icmp_seq=28 ttl=64 time=1.13 ms
64 bytes from 10.42.0.3: icmp_seq=29 ttl=64 time=1.66 ms
64 bytes from 10.42.0.3: icmp_seq=30 ttl=64 time=1.29 ms
64 bytes from 10.42.0.3: icmp_seq=31 ttl=64 time=9.82 ms
