PING 10.42.0.3 (10.42.0.3) 56(84) bytes of data.
64 bytes from 10.42.0.3: icmp_seq=52 ttl=64 time=1.12 ms
64 bytes from 10.42.0.3: icmp_seq=53 ttl=64 time=5.09 ms
64 bytes from 10.42.0.3: icmp_seq=54 ttl=64 time=11.1 ms
64 bytes from 10.42.0.3: icmp_seq=55 ttl=64 time=1.46 ms
64 bytes from 10.42.0.3: icmp_seq=56 ttl=64 time=0.923 ms
64 bytes from 10.42.0.3: icmp_seq=57 ttl=64 time=0.991 ms
64 bytes from 10.42.0.3: icmp_seq=58 ttl=64 time=0.929 ms
64 bytes from 10.42.0.3: icmp_seq=59 ttl=64 time=1.35 ms
64 bytes from 10.42.0.3: icmp_seq=60 ttl=64 time=1.20 ms
64 bytes from 10.42.0.3: icmp_seq=61 ttl=64 time=1.44 ms
64 bytes from 10.42.0.3: icmp_seq=62 ttl=64 time=0.943 ms
64 bytes from 10.42.0.3: icmp_seq=63 ttl=64 time=0.938 ms
64 bytes from 10.42.0.3: icmp_seq=64 ttl=64 time=0.925 ms
64 bytes from 10.42.0.3: icmp_seq=65 ttl=64 time=1.79 ms
64 bytes from 10.42.0.3: icmp_seq=66 ttl=64 time=1.00 ms
64 bytes from 10.42.0.3: icmp_seq=67 ttl=64 time=1.08 ms
64 bytes from 10.42.0.3: icmp_seq=68 ttl=64 time=1.29 ms
64 bytes from 10.42.0.3: icmp_seq=69 ttl=64 time=1.47 ms
64 bytes from 10.42.0.3: icmp_seq=70 ttl=64 time=1.04 ms
64 bytes from 10.42.0.3: icmp_seq=71 ttl=64 time=1.76 ms
64 bytes from 10.42.0.3: icmp_seq=72 ttl=64 time=1.02 ms
64 bytes from 10.42.0.3: icmp_seq=73 ttl=64 time=0.995 ms
64 bytes from 10.42.0.3: icmp_seq=74 ttl=64 time=0.979 ms
64 bytes from 10.42.0.3: icmp_seq=75 ttl=64 time=93.7 ms
64 bytes from 10.42.0.3: icmp_seq=76 ttl=64 time=0.989 ms
64 bytes from 10.42.0.3: icmp_seq=77 ttl=64 time=0.895 ms
64 bytes from 10.42.0.3: icmp_seq=78 ttl=64 time=2.53 ms
64 bytes from 10.42.0.3: icmp_seq=79 ttl=64 time=1.02 ms
64 bytes from 10.42.0.3: icmp_seq=80 ttl=64 time=0.955 ms
64 bytes from 10.42.0.3: icmp_seq=81 ttl=64 time=2.47 ms
64 bytes from 10.42.0.3: icmp_seq=82 ttl=64 time=2.07 ms
64 bytes from 10.42.0.3: icmp_seq=83 ttl=64 time=1.11 ms
64 bytes from 10.42.0.3: icmp_seq=84 ttl=64 time=1.09 ms
64 bytes from 10.42.0.3: icmp_seq=85 ttl=64 time=1.02 ms
