time,/actor2/velocity_data,/actor2/acceleration_data,/actor2/imu_data
1720981695.3783548,0.0,0.0,-0.001
1720981695.478291,0.0,0.0,-0.002
1720981695.5784652,0.0,0.0,-0.0018000000000000002
1720981695.6786292,0.0,0.0,-0.0028
1720981695.7785342,0.0,0.0,-0.0004
1720981695.8784075,0.0,0.0,-0.0014
1720981695.978205,0.0,0.0,-0.0026000000000000003
1720981696.0782604,0.0,0.0,-0.0022
1720981696.1782982,0.0,0.0,-0.0012000000000000001
1720981696.278198,0.0,0.0,-0.0006000000000000001
1720981696.3784544,0.0,0.0,-0.0012000000000000001
1720981696.4782588,0.0,0.0,-0.0006000000000000001
1720981696.5782392,0.0,0.0,-0.001
1720981696.6782074,0.0,0.0,-0.0022
1720981696.7781901,0.0,0.0,-0.0012000000000000001
1720981696.8781826,0.0,0.0,-0.0012000000000000001
1720981696.9781866,0.0,0.0,-0.002
1720981697.078165,0.0,0.0,-0.0006000000000000001
1720981697.1781423,0.0,0.0,-0.0026000000000000003
1720981697.2782607,0.0,0.0,-0.0014
1720981697.3782778,0.0,0.0,-0.0004
1720981697.478251,0.0,0.0,-0.0006000000000000001
1720981697.578289,0.0,0.0,-0.0012000000000000001
1720981697.6782975,0.0,0.0,-0.0018000000000000002
1720981697.7782745,0.0,0.0,-0.0014
1720981697.8781908,0.0,0.0,-0.002
1720981697.9782794,0.0,0.0,-0.001
1720981698.0782802,0.0,0.0,-0.001
1720981698.1782908,0.0,0.0,-0.0014
1720981698.2782364,0.0,0.0,-0.0018000000000000002
1720981698.3782094,0.0,0.0,-0.0018000000000000002
1720981698.4782093,0.0,0.0,-0.0022
1720981698.5788455,0.0,0.0,-0.002
1720981698.6784563,0.0,0.0,-0.0018000000000000002
1720981698.7785065,0.0,0.0,-0.0026000000000000003
1720981698.8788168,0.0,0.0,-0.0018000000000000002
1720981698.9787202,0.0,0.0,-0.002
1720981699.0787463,0.0,0.0,-0.001
1720981699.1785798,0.0,0.0,-0.0018000000000000002
1720981699.2787094,0.0,0.0,-0.0026000000000000003
1720981699.378706,0.0,0.0,-0.002
1720981699.4783547,0.0,0.0,-0.0012000000000000001
1720981699.5782979,0.0,0.0,-0.0014
1720981699.6784694,0.0,0.0,-0.002
1720981699.778349,0.0,0.0,-0.0006000000000000001
1720981699.8783526,0.0,0.0,-0.0018000000000000002
1720981699.9783173,0.0,0.0,-0.0022
1720981700.0782962,0.0,0.0,-0.0012000000000000001
1720981700.178413,0.0,0.0,-0.0014
1720981700.2783062,0.0,0.0,-0.002
1720981700.3782952,0.0,0.0,-0.0012000000000000001
1720981700.4782896,0.0,0.0,-0.0014
1720981700.578172,0.0,0.0,-0.0014
1720981700.6782289,0.0,0.0,-0.0022
1720981700.778285,0.0,0.0,-0.0018000000000000002
1720981700.878193,0.0,0.0,-0.002
1720981700.9782112,0.0,0.0,-0.0022
1720981701.0783763,0.0,0.0,0.0
1720981701.178221,0.0,0.0,-0.001
1720981701.2785573,0.0,0.0,-0.0014
1720981701.378311,0.0,0.0,-0.0018000000000000002
1720981701.4782636,0.0,0.0,-0.0022
1720981701.5782497,0.0,0.0,-0.001
1720981701.6781888,0.0,0.0,-0.0012000000000000001
1720981701.7782257,0.0,0.0,-0.001
1720981701.8783715,0.0,0.0,-0.001
1720981701.9783108,0.0,0.0,-0.0012000000000000001
1720981702.0782833,0.0,0.0,-0.002
1720981702.1783352,0.0,0.0,-0.001
1720981702.2783985,0.0,0.0,-0.0014
1720981702.378274,0.0,0.0,-0.001
1720981702.47854,0.0,0.0,-0.0002
1720981702.5784185,0.0,0.0,-0.0012000000000000001
1720981702.6783116,0.0,0.0,-0.002
1720981702.778291,0.0,0.0,-0.002
1720981702.8784235,0.0,0.0,-0.0014
1720981702.9782207,0.0,0.0,-0.0018000000000000002
1720981703.0781631,0.0,0.0,-0.0028
1720981703.17818,0.0,0.0,-0.0022
1720981703.278431,0.0,0.0,-0.001
1720981703.3782356,0.0,0.0,-0.001
1720981703.4782722,0.0,0.0,-0.002
1720981703.5781345,0.0,0.0,-0.0002
1720981703.6781657,0.0,0.0,-0.001
1720981703.7782412,0.0,0.0,-0.001
1720981703.8782978,0.0,0.0,-0.0014
1720981703.9780214,0.0,0.0,-0.001
1720981704.0782764,0.0,0.0,-0.0012000000000000001
1720981704.1781633,0.0,0.0,-0.0012000000000000001
1720981704.2781858,0.0,0.0,0.0
1720981704.3783004,0.0,0.0,-0.002
1720981704.4781806,0.0,0.0,-0.0014
1720981704.578533,0.0,0.0,-0.0018000000000000002
1720981704.6783292,0.0,0.0,-0.0002
1720981704.7784803,0.0,0.0,-0.0018000000000000002
1720981704.8780975,0.0,0.0,-0.002
1720981704.9779687,0.0,0.0,-0.0014
1720981705.0781095,0.0,0.0,-0.002
1720981705.1782544,0.0,0.0,-0.002
1720981705.2783134,0.0,0.0,-0.0014
1720981705.3781688,0.0,0.0,-0.0006000000000000001
1720981705.4780865,0.0,0.0,-0.0014
1720981705.5780985,0.0,0.0,-0.0026000000000000003
1720981705.6781154,0.0,0.0,-0.002
1720981705.778204,0.0,0.0,-0.002
1720981705.878389,0.0,0.0,-0.0026000000000000003
1720981705.9780734,0.0,0.0,-0.0014
1720981706.0783134,0.0,0.0,-0.0022
1720981706.1783504,0.0,0.0,-0.0014
1720981706.2783473,0.0,0.0,-0.0012000000000000001
1720981706.378186,0.0,0.0,-0.002
1720981706.4782405,0.0,0.0,-0.0022
1720981706.5780945,0.0,0.0,-0.0018000000000000002
1720981706.6781514,0.0,0.0,-0.0018000000000000002
1720981706.778033,0.0,0.0,-0.0028
1720981706.878163,0.0,0.0,-0.002
1720981706.9782963,0.0,0.0,-0.002
1720981707.0781307,0.0,0.0,-0.0014
1720981707.1780403,0.0,0.0,-0.0022
1720981707.2780404,0.0,0.0,-0.0014
1720981707.378129,0.0,0.0,-0.002
1720981707.4780889,0.0,0.0,-0.0014
1720981707.5780306,0.0,0.0,-0.0014
1720981707.678055,0.0,0.0,-0.0012000000000000001
1720981707.7780285,0.0,0.0,-0.0014
1720981707.8781533,0.0,0.0,-0.0034000000000000002
1720981707.978232,0.0,0.0,-0.0006000000000000001
1720981708.0782492,0.0,0.0,-0.0014
1720981708.1782882,0.0,0.0,-0.002
1720981708.278157,0.0,0.0,-0.0022
1720981708.3781295,0.0,0.0,-0.0022
1720981708.4786258,0.0,0.0,-0.0006000000000000001
1720981708.5777748,0.0,0.0,-0.0012000000000000001
1720981708.6786199,0.0,0.0,-0.0014
1720981708.7781332,0.0,0.0,-0.0012000000000000001
1720981708.8780408,0.0,0.0,-0.001
1720981708.9781563,0.0,0.0,-0.0014
1720981709.078218,0.0,0.0,-0.002
1720981709.1782684,0.0,0.0,-0.0006000000000000001
1720981709.2782164,0.0,0.0,-0.002
1720981709.3783035,0.0,0.0,-0.0018000000000000002
1720981709.4783013,0.0,0.0,-0.0006000000000000001
1720981709.5780997,0.0,0.0,-0.0018000000000000002
1720981709.6782372,0.0,0.0,-0.0004
1720981709.7782197,0.0,0.0,-0.0014
1720981709.8782148,0.0,0.0,-0.0028
1720981709.978097,0.0,0.0,-0.0006000000000000001
1720981710.0781116,0.0,0.0,-0.0004
1720981710.1780457,0.0,0.0,-0.0012000000000000001
1720981710.2782664,0.0,0.0,-0.0002
1720981710.3780687,0.0,0.0,-0.0018000000000000002
1720981710.4781117,0.0,0.0,-0.0012000000000000001
1720981710.5781748,0.0,0.0,-0.0018000000000000002
1720981710.6782126,0.0,0.0,-0.0012000000000000001
1720981710.7783186,0.0,0.0,-0.0014
1720981710.8780513,0.0,0.0,-0.0014
1720981710.9780443,0.0,0.0,-0.001
1720981711.0780563,0.0,0.0,-0.0018000000000000002
1720981711.1781974,0.0,0.0,-0.0028
1720981711.2780237,0.0,0.0,-0.0012000000000000001
1720981711.3782105,0.0,0.0,-0.0006000000000000001
1720981711.478126,0.0,0.0,-0.0012000000000000001
1720981711.5780084,0.0,0.0,-0.0018000000000000002
1720981711.6785834,94565763.23269509,945657632.3269508,-0.0012000000000000001
1720981711.778131,0.28429150959977084,-945657629.4840357,-0.0014
1720981711.877873,0.2607765275521272,-0.2351498204764363,-0.0014
1720981711.977881,0.08764352493570618,-1.7313300261642102,-0.002
1720981712.0780659,0.06880749787432343,-0.1883602706138275,-0.002
1720981712.1779463,0.06386607800896227,-0.0494141986536116,-0.0028
1720981712.278212,0.046586440596405335,-0.17279637412556934,-0.002
1720981712.378087,0.03199830329919044,-0.14588137297214893,-0.0026000000000000003
1720981712.4778743,0.032716901870660925,0.007185985714704829,-0.0006000000000000001
1720981712.578078,0.303848306951936,2.7113140508127507,-0.002
1720981712.6780894,0.25677811166770204,-0.4707019528423395,-0.0014
1720981712.7781014,0.19388049508005797,-0.6289761658764406,-0.0018000000000000002
1720981712.878082,0.12621971898117945,-0.6766077609887852,-0.001
1720981712.9781039,0.013412568333469682,-1.1280715064770976,-0.001
1720981713.0779953,0.031222044018370917,0.17809475684901233,-0.0012000000000000001
1720981713.17815,0.03551841780612553,0.04296373787754614,-0.0014
1720981713.2780807,0.04878209819452951,0.1326368038840398,-0.0002
1720981713.378234,0.07951722331379034,0.30735125119260825,-0.0014
1720981713.4780383,0.045750496733456346,-0.3376672658033399,-0.0018000000000000002
