%time,field.data
1720891844854280426,0.05278189697925295
1720891844955022124,0.06425061197673733
1720891845054659841,0.07940414969691377
1720891845153745124,0.060692841541526966
1720891845254260581,0.09240862182341529
1720891845353858279,0.09084670386042425
1720891845453842245,0.07015895379286795
1720891845553571085,0.056258072393873
1720891845654148152,0.05385424694043865
1720891845753739107,0.05432888967043968
1720891845853972070,0.06499470876664885
1720891845953818334,0.06255259359843378
1720891846053665565,0.030151599792901725
1720891846153645949,0.058856689195445004
1720891846253819109,0.023016030591366574
1720891846353695551,0.04781258841023107
1720891846453656335,0.017405660505523574
1720891846553752782,0.012096989080413761
1720891846653756023,0.013285691161013729
1720891846753646073,0.03089313886276501
1720891846853746213,0.013545152717634484
1720891846953783693,0.015895457635961695
1720891847053799052,0.04759866364763613
1720891847153623909,0.035456599215835986
1720891847253773566,0.03168885777511552
1720891847353704105,0.050677062210602065
1720891847453809735,0.05779396274564625
1720891847553766495,0.05098799238354304
1720891847653645601,0.06023809973626168
1720891847753722601,0.09054466666896642
1720891847853816215,0.08055340465578495
1720891847953786812,0.06969589467027919
1720891848053772148,0.0861237420391386
1720891848153723951,0.08227787666734891
1720891848253769272,0.07670370605377753
1720891848353815065,0.06776413999579517
1720891848453849177,0.055441035875394715
1720891848553948544,0.049291916313935695
1720891848653891288,0.06924102266364282
1720891848753824608,0.06463599469545062
1720891848853747528,0.0893321018014259
1720891848954391387,0.08488206032469271
1720891849053861786,0.08234918143485814
1720891849154131343,0.08327755546858495
1720891849253987294,0.05495438213300902
1720891849353725704,0.07633064028852955
1720891849453690501,0.06463812351133776
1720891849553751640,0.06669596203002529
1720891849653670611,0.013662828903347395
1720891849753646106,0.05830182905378457
1720891849853730163,0.06170871915315348
1720891849953662960,0.08375330352727794
1720891850053733910,0.052829144233569304
1720891850153647681,0.04340722574568898
1720891850253753106,0.062328129884715214
1720891850353701579,0.06438499170754808
1720891850453782115,0.05781242550923997
1720891850553888614,0.062113579524358115
1720891850654275287,0.06591322234387516
1720891850754490557,0.05618412107606516
1720891850853945901,0.06252296161445109
1720891850953910102,0.07593569110186658
1720891851054262897,0.05083776498335278
1720891851153551457,0.06921917904103633
1720891851254103324,0.08874057068301579
1720891851353851839,0.06275954484063292
1720891851453705274,0.07100257816052853
1720891851554191377,0.07252189698698687
1720891851653797943,0.08573718630408951
1720891851753568060,0.09912765812890492
1720891851853728177,0.0930983274862541
1720891851954014961,0.08353771852900374
1720891852053654013,0.0840049607375039
1720891852153626322,0.0976856426129165
1720891852254044867,0.1032057240448771
1720891852353877287,0.0980641538905202
1720891852453717630,0.10550383630325152
1720891852553718243,0.09272463901925074
1720891852653773158,0.0979793632601057
1720891852753783641,0.08747811922687673
1720891852853633888,0.08494788596156308
1720891852953728543,0.08748743747023732
1720891853053729019,0.06586625625431503
1720891853153836371,0.07876421567725504
1720891853253812524,0.07895019314509016
1720891853353746958,0.06858115489202964
1720891853453873355,0.06754330998463623
