time,/actor2/velocity_data,/actor2/acceleration_data,/actor2/imu_data
1720891104.624109,0.13347480093927583,-12.891312088506952,-0.0022
1720891104.7240982,0.11671097826211142,-0.16763822677164406,-0.0012000000000000001
1720891104.8240724,0.12384300958611517,0.07132031324003751,-0.0018000000000000002
1720891104.9246716,0.12298307532121953,-0.008599342648956398,-0.0012000000000000001
1720891105.024013,0.0,-1.2298307532121953,-0.0014
1720891105.1247568,0.2246290569706539,2.246290569706539,-0.0012000000000000001
1720891105.2239892,0.1177209773826224,-1.069080795880315,-0.0006000000000000001
1720891105.324016,0.12120234157423429,0.03481364191611894,-0.0006000000000000001
1720891105.4241872,0.13709935991190544,0.15897018337671154,-0.0014
1720891105.5239968,0.0,-1.3709935991190543,-0.0018000000000000002
1720891105.624095,0.28091724834389303,2.80917248343893,-0.0018000000000000002
1720891105.7241786,0.13269424893472911,-1.482229994091639,-0.0018000000000000002
1720891105.8244326,0.14333076660515046,0.10636517670421342,-0.0014
1720891105.924377,0.13888853001540227,-0.04442236589748183,-0.0026000000000000003
1720891106.025108,0.1366856233987326,-0.022029066166696643,-0.002
1720891106.1246543,0.13214179324876194,-0.045438301499706735,-0.0018000000000000002
1720891106.2244775,0.14106435160657493,0.08922558357812999,-0.002
1720891106.3241959,0.14407444648417853,0.03010094877603592,-0.0006000000000000001
1720891106.4244168,0.12343251444408024,-0.20641932040098288,-0.0022
1720891106.524276,0.11084169881221542,-0.12590815631864816,-0.001
1720891106.624459,0.10852715881205552,-0.023145400001599037,-0.001
1720891106.7248087,0.09229973657937801,-0.16227422232677507,-0.0022
1720891106.8253179,0.0,-0.9229973657937801,-0.0022
1720891106.924169,0.22474966766552515,2.2474966766552513,-0.0012000000000000001
1720891107.0244815,0.12033343809815183,-1.044162295673733,-0.001
1720891107.124364,0.10800883044908047,-0.12324607649071367,-0.001
1720891107.2245185,0.09394075074196949,-0.14068079707110978,-0.0018000000000000002
1720891107.3241768,0.08033323149104131,-0.1360751925092818,-0.0004
1720891107.4244573,0.11259208829849848,0.3225885680745717,-0.0012000000000000001
1720891107.524472,0.10622520253371948,-0.06366885764779007,-0.0014
1720891107.6242192,0.1035138463268485,-0.027113562068709768,-0.0012000000000000001
1720891107.724364,0.10680417988821067,0.032903335613621715,-0.0012000000000000001
1720891107.824237,0.08472549636304773,-0.22078683525162943,-0.002
1720891107.9241471,0.09602719051695315,0.11301694153905417,-0.001
1720891108.0243065,0.08341996792028648,-0.12607222596666662,-0.0018000000000000002
