time,/actor1/acceleration_data,/actor1/velocity_data
1721061816,0.4186264021,0.112367551
1721061817,0.06777715586,0.1191452665
1721061817,0.6176143998,0.1809067065
1721061817,0.8529133346,0.26619804
1721061817,1.061200497,0.3723180897
1721061817,1.373258903,0.5096439799
1721061817,1.301972891,0.639841269
1721061817,2.188599306,0.8587011996
1721061817,1.993614402,1.05806264
1721061817,2.308965951,1.288959235
1721061817,2.271165108,1.516075746
1721061818,2.672427069,1.783318453
1721061818,2.138203674,1.99713882
1721061818,1.796409678,2.176779788
1721061818,1.058645366,2.282644324
1721061818,0.6434070513,2.346985029
1721061818,0.8613993166,2.433124961
1721061818,0.6042920872,2.49355417
1721061818,0.4899457289,2.542548743
1721061818,0.5021762733,2.59276637
1721061818,0.2612162232,2.618887992
1721061819,-0.07316220991,2.611571771
1721061819,0.2925592722,2.640827699
1721061819,0.3079279241,2.671620491
1721061819,-0.01794678362,2.669825813
1721061819,-0.6076753955,2.609058273
1721061819,-0.2493434768,2.584123925
1721061819,0.8524392314,2.669367849
1721061819,-0.70504056,2.598863793
1721061819,0.2146908401,2.620332877
1721061819,0.8881575356,2.70914863
1721061820,0.1666021108,2.725808841
1721061820,-0.3761299158,2.68819585
1721061820,-0.6626309938,2.62193275
1721061820,-2.291107999,2.39282195
1721061820,-0.3478249582,2.358039455
1721061820,0.8976985212,2.447809307
1721061820,0.4446131762,2.492270624
1721061820,-0.04546441208,2.487724183
1721061820,-0.3622239581,2.451501787
1721061820,0.343072962,2.485809083
1721061821,-0.9072967978,2.395079404
1721061821,-0.9739403952,2.297685364
1721061821,-2.277864874,2.069898877
1721061821,-0.4443978922,2.025459088
1721061821,-0.3308197577,1.992377112
1721061821,0.7051603101,2.062893143
1721061821,0.9485471324,2.157747856
1721061821,-0.2755421761,2.130193638
1721061821,-1.781776552,1.952015983
1721061821,-1.430517663,1.808964217
1721061822,1.4470865,1.953672867
1721061822,2.217908974,2.175463764
1721061822,-0.3439239254,2.141071372
1721061822,-1.697953824,1.971275989
1721061822,-0.3627721906,1.93499877
1721061822,1.295295013,2.064528272
1721061822,0.4283059328,2.107358865
1721061822,0.3168014808,2.139039013
1721061822,-0.8976144424,2.049277569
1721061822,-0.5536455739,1.993913011
1721061823,-0.5259669835,1.941316313
1721061823,-0.6210353153,1.879212781
1721061823,-0.03769739838,1.875443042
1721061823,0.06941981257,1.882385023
1721061823,-0.597656086,1.822619414
1721061823,0.6841872196,1.891038136
1721061823,-0.04247652437,1.886790484
1721061823,-0.3514622397,1.85164426
1721061823,-0.2037962993,1.83126463
1721061823,0.1925676229,1.850521392
1721061824,0.3529135541,1.885812748
1721061824,4.80E-05,1.885817548
1721061824,0.1382261283,1.899640161
1721061824,1.330694964,2.032709658
1721061824,0.2533358349,2.058043241
1721061824,-1.21554018,1.936489223
1721061824,0.06497630772,1.942986854
1721061824,1.046924501,2.047679304
1721061824,0.351061094,2.082785413
1721061824,0.1701897997,2.099804393
1721061825,0.746362022,2.174440595
1721061825,0.2037544443,2.19481604
1721061825,-0.01938174444,2.192877865
