time,/actor1/acceleration_data,/actor1/velocity_data
1721091445,-0.1548293157,0.01544117053
1721091445,0.3837611205,0.05381728257
1721091445,0.4647227239,0.100289555
1721091445,0.7325272802,0.173542283
1721091445,0.6432518526,0.2378674682
1721091445,0.6730820847,0.3051756767
1721091445,1.015892762,0.4067649529
1721091445,1.182596384,0.5250245913
1721091445,0.7492526248,0.5999498538
1721091446,1.192293753,0.7191792291
1721091446,1.413945006,0.8605737297
1721091446,1.446462776,1.005220007
1721091446,1.557143183,1.160934326
1721091446,1.632895402,1.324223866
1721091446,1.77569281,1.501793147
1721091446,1.50485474,1.652278621
1721091446,1.983004245,1.850579045
1721091446,0.6586756564,1.916446611
1721091446,0.7368289739,1.990129508
1721091447,1.528175513,2.14294706
1721091447,1.100494829,2.252996542
1721091447,0.8291990901,2.335916451
1721091447,-1.021993441,2.233717107
1721091447,-0.2074890856,2.212968199
1721091447,-0.03342759231,2.20962544
1721091447,0.5859206858,2.268217508
1721091447,0.446918076,2.312909316
1721091447,0.4001133791,2.352920654
1721091447,0.2767978409,2.380600438
1721091448,0.1521693254,2.39581737
1721091448,0.3060809666,2.426425467
1721091448,-0.2393772328,2.402487744
1721091448,0.4885602542,2.451343769
1721091448,-0.005570315626,2.450786737
1721091448,-0.5035686792,2.40042987
1721091448,-0.2576554412,2.374664325
1721091448,0.8342623094,2.458090556
1721091448,-0.3935541429,2.418735142
1721091448,-0.8013513236,2.33860001
1721091449,0.006845486668,2.339284558
1721091449,0.6569507652,2.404979635
1721091449,0.3163522736,2.436614862
1721091449,-1.338982436,2.302716619
1721091449,-1.909117902,2.111804829
1721091449,0.7797259432,2.189777423
1721091449,1.339647602,2.323742183
1721091449,0.7014379244,2.393885975
1721091449,-2.340870044,2.159798971
1721091449,-1.047471094,2.055051862
1721091450,1.122660376,2.167317899
1721091450,0.6556756492,2.232885464
1721091450,-0.1999340128,2.212892063
1721091450,-1.045907488,2.108301314
1721091450,-0.9747077753,2.010830537
1721091450,-0.3161732135,1.979213215
1721091450,0.1106131719,1.990274532
1721091450,0.485326425,2.038807175
1721091450,-0.4787804784,1.990929127
1721091450,-1.008954769,1.89003365
1721091451,-0.2800394197,1.862029708
1721091451,0.5399000257,1.916019711
1721091451,0.6338976545,1.979409476
1721091451,0.3139418594,2.010803662
1721091451,-0.1476749384,1.996036168
1721091451,-1.08676742,1.887359426
1721091451,0.1711663698,1.904476063
1721091451,0.6304455451,1.967520618
1721091451,0.2175466736,1.989275285
1721091451,-1.165014006,1.872773885
1721091452,-1.184261862,1.754347698
1721091452,0.1872697991,1.773074678
1721091452,-0.3297551998,1.740099158
1721091452,0.9785286908,1.837952027
1721091452,-0.3691695784,1.80103507
1721091452,-0.7947301124,1.721562058
1721091452,1.397266842,1.861288742
1721091452,1.644396989,2.025728441
1721091452,1.039552292,2.129683671
1721091452,-0.6438697261,2.065296698
1721091453,0.8075423919,2.146050937
1721091453,1.506284292,2.296679366
1721091453,-0.2908362276,2.267595744
1721091453,0.9154422735,2.359139971
1721091453,0.6801758011,2.427157551
1721091453,0.145240345,2.441681586
1721091453,-0.751184591,2.366563126
1721091453,0.1300428059,2.379567407
1721091453,0.5882568876,2.438393096
1721091453,0.2051071188,2.458903808
1721091454,0.104761258,2.469379933
1721091454,-0.8662355596,2.382756378
1721091454,-0.08898220779,2.373858157
1721091454,1.038681774,2.477726334
1721091454,0.9287903489,2.570605369
1721091454,-0.5363695595,2.516968413
1721091454,0.7129080544,2.588259218
1721091454,-0.1999324764,2.568265971
1721091454,-0.4042745788,2.527838513
1721091454,-0.3441848807,2.493420025
1721091455,-0.2622309892,2.467196926
1721091455,-0.3470248334,2.432494443
1721091455,-0.4187211648,2.390622326
1721091455,0.5772658766,2.448348914
1721091455,0.7063360532,2.518982519
1721091455,0.7381986511,2.592802384
1721091455,0.1166708096,2.604469465
1721091455,-0.08225637392,2.596243828
1721091455,0.1184741924,2.608091247
1721091455,0.1474082904,2.622832076
1721091456,-0.6907194105,2.553760135
1721091456,-0.2427632529,2.52948381
1721091456,-0.9801202563,2.431471784
1721091456,0.4596983612,2.47744162
1721091456,0.3948420759,2.516925828
1721091456,0.04157279776,2.521083108
1721091456,-0.6196440565,2.459118702
1721091456,0.1149054901,2.470609251
1721091456,0.04712975223,2.475322226
1721091456,0.6092863445,2.536250861
1721091457,-0.2885578537,2.507395075
1721091457,0.04897678119,2.512292753
1721091457,0.4384266255,2.556135416
1721091457,0.06018222334,2.562153638
1721091457,-0.5590457302,2.506249065
1721091457,-0.7141821857,2.434830847
1721091457,0.04434664521,2.439265511
1721091457,0.3539556396,2.474661075
1721091457,0.3404426752,2.508705343
1721091457,-0.4315835713,2.465546986
1721091458,-0.2676693205,2.438780054
1721091458,-0.1242894155,2.426351112
1721091458,0.7771992579,2.504071038
1721091458,-0.3391877806,2.47015226
1721091458,-0.5746641026,2.412685849
1721091458,-0.08897092337,2.403788757
1721091458,0.3591851239,2.43970727
1721091458,-0.008447283622,2.438862541
1721091458,0.3987371547,2.478736257
1721091458,0.2384329556,2.502579552
1721091459,-0.261449545,2.476434598
1721091459,0.6062978723,2.537064385
1721091459,0.2135073096,2.558415116
1721091459,0.08073123571,2.566488239
1721091459,0.2132809856,2.587816338
1721091459,-0.2027218551,2.567544152
1721091459,-0.1663031612,2.550913836
1721091459,0.6500006379,2.6159139
1721091459,-0.0424123903,2.611672661
1721091459,-0.07611883579,2.604060778
1721091460,-0.4168416932,2.562376608
1721091460,0.06094976051,2.568471584
1721091460,-0.3804940345,2.530422181
