time,/actor1/acceleration_data,/actor1/velocity_data
1721060780,0.3813135216,0.101467296
1721060780,0.773955076,0.1788628036
1721060780,0.7982992191,0.2586927255
1721060780,0.9860118531,0.3572939108
1721060780,1.286388799,0.4859327907
1721060781,1.300991275,0.6160319182
1721060781,2.098641935,0.8258961118
1721060781,1.62149936,0.9880460478
1721060781,2.422570942,1.230303142
1721060781,2.084733956,1.438776537
1721060781,2.309611549,1.669737692
1721060781,1.367160521,1.806453744
1721060781,1.857595247,1.992213269
1721060781,1.253532387,2.117566508
1721060781,1.118141936,2.229380701
1721060782,0.5215810666,2.281538808
1721060782,0.1516996273,2.296708771
1721060782,0.6264855297,2.359357324
1721060782,0.250600659,2.38441739
1721060782,-0.06912870137,2.37750452
1721060782,0.4187263251,2.419377152
1721060782,0.7601865726,2.495395809
1721060782,1.517603117,2.647156121
1721060782,-0.5564686328,2.591509258
1721060782,0.3008178372,2.621591041
1721060783,-0.3720656614,2.584384475
1721060783,-0.359960719,2.548388403
1721060783,0.1961031145,2.567998715
1721060783,0.2816723238,2.596165947
1721060783,-0.9372071229,2.502445235
1721060783,0.5286015105,2.555305386
1721060783,0.3628217827,2.591587564
1721060783,0.4239871207,2.633986276
1721060783,-0.433431206,2.590643156
1721060783,-0.9061107536,2.50003208
1721060784,-1.486980144,2.351334066
1721060784,0.04082278644,2.355416345
1721060784,1.254187793,2.480835124
1721060784,0.512138276,2.532048952
1721060784,0.2492937468,2.556978326
1721060784,0.3813114371,2.59510947
1721060784,0.5391578429,2.649025254
1721060784,0.6605366432,2.715078919
1721060784,-0.4224181245,2.672837106
1721060784,-1.153164728,2.557520633
1721060785,-0.4087251674,2.516648117
1721060785,0.2264201077,2.539290127
1721060785,1.709371616,2.710227289
1721060785,0.551471191,2.765374408
1721060785,-1.453222629,2.620052145
1721060785,-0.6354756452,2.556504581
1721060785,1.377098308,2.694214411
1721060785,0.4642220816,2.74063662
1721060785,-0.7878808023,2.661848539
1721060785,-1.158538826,2.545994657
1721060786,0.1150654401,2.557501201
1721060786,1.493108733,2.706812074
1721060786,-0.3211029969,2.674701774
1721060786,-1.227805673,2.551921207
1721060786,-1.012223176,2.450698889
1721060786,0.490844699,2.499783359
1721060786,1.116714576,2.611454817
1721060786,0.9269990344,2.70415472
1721060786,-0.950733478,2.609081373
1721060786,-0.6187288676,2.547208486
1721060787,0.358885357,2.583097022
1721060787,0.905814131,2.673678435
1721060787,-0.9391431011,2.579764125
1721060787,-0.5778547817,2.521978646
1721060787,-0.5456865546,2.467409991
1721060787,-0.266440939,2.440765897
1721060787,0.9485355286,2.53561945
1721060787,0.6369966583,2.599319116
1721060787,-0.6884853022,2.530470585
1721060787,-1.188587446,2.411611841
1721060788,-0.2300640091,2.38860544
1721060788,0.07574874702,2.396180315
1721060788,0.803336374,2.476513952
1721060788,1.137962802,2.590310232
1721060788,0.3713960597,2.627449838
1721060788,-0.1889458136,2.608555257
1721060788,0.4658691523,2.655142172
1721060788,1.034484708,2.758590643
1721060788,0.2093637115,2.779527014
1721060788,-1.637599902,2.615767024
1721060789,0.1493610235,2.630703126
1721060789,-0.1570822961,2.614994897
1721060789,-0.2151515468,2.593479742
1721060789,0.6912983354,2.662609575
1721060789,0.4547068983,2.708080265
1721060789,0.5111201033,2.759192276
1721060789,-0.01089161187,2.758103114
1721060789,-0.0925266565,2.748850449
1721060789,0.4439055819,2.793241007
1721060789,-0.00712704871,2.792528302
1721060790,-0.8422558504,2.708302717
1721060790,-0.7183166982,2.636471047
1721060790,-0.3731690028,2.599154147
1721060790,0.04637267653,2.603791415
1721060790,-0.003630688899,2.603428346
1721060790,-0.5273631249,2.550692033
