time,/actor1/acceleration_data,/actor1/velocity_data
1721062494,0.1732888827,0.2123276365
1721062494,0.1211566421,0.2244433007
1721062494,0.2301320397,0.2474565046
1721062494,0.2868994768,0.2761464523
1721062494,-0.2005258371,0.2560938686
1721062494,0.03031777045,0.2591256456
1721062494,0.2068754946,0.2798131951
1721062494,0.3114171789,0.310954913
1721062494,-0.08108689156,0.3028462238
1721062494,0.1992761846,0.3227738423
1721062495,0.3026022452,0.3530340668
1721062495,0.3992658205,0.3929606489
1721062495,0.3396189603,0.4269225449
1721062495,0.4511829126,0.4720408361
1721062495,0.3779974108,0.5098405772
1721062495,0.2451167903,0.5343522563
1721062495,0.632028151,0.5975550713
1721062495,-0.09476238384,0.588078833
1721062495,0.1842760831,0.6065064413
1721062495,0.3682616597,0.6433326072
1721062496,0.2298975925,0.6663223665
1721062496,0.5608937846,0.722411745
1721062496,-0.02936489648,0.7194752553
1721062496,0.613685138,0.7808437691
1721062496,0.6029134646,0.8411351156
1721062496,0.817623545,0.9228974701
1721062496,0.3156525995,0.95446273
1721062496,0.6214383281,1.016606563
1721062496,0.9768220265,1.114288765
1721062496,1.213322222,1.235620988
1721062497,1.209353697,1.356556357
1721062497,1.382107287,1.494767086
1721062497,0.8055778256,1.575324869
1721062497,1.254547111,1.70077958
1721062497,1.438026484,1.844582228
1721062497,1.166546876,1.961236916
1721062497,0.8755187051,2.048788786
1721062497,0.2470852706,2.073497313
1721062497,0.9953655402,2.173033867
1721062497,0.6976788432,2.242801752
1721062498,-0.7626575313,2.166535999
1721062498,0.5766779739,2.224203796
1721062498,-0.07019045792,2.21718475
1721062498,-0.08224142213,2.208960608
1721062498,-0.1985243894,2.189108169
1721062498,0.2721992705,2.216328096
1721062498,0.5200756746,2.268335664
1721062498,0.4417297858,2.312508642
1721062498,0.1485701374,2.327365656
1721062498,-0.2734308398,2.300022572
1721062499,0.08098526372,2.308121098
1721062499,-1.993739683,2.10874713
1721062499,0.358683475,2.144615477
1721062499,1.328323766,2.277447854
1721062499,-0.4362959934,2.233818255
1721062499,-0.4525089633,2.188567358
1721062499,0.6304879044,2.251616149
1721062499,0.3955302718,2.291169176
1721062499,-0.2143942994,2.269729746
1721062499,-0.6693346845,2.202796278
1721062500,-1.534781138,2.049318164
1721062500,-0.7148117846,1.977836985
1721062500,-0.3883895821,1.938998027
1721062500,1.085082908,2.047506318
1721062500,0.9568011672,2.143186435
1721062500,0.03064510293,2.146250945
1721062500,-1.344824738,2.011768471
1721062500,-0.7621928117,1.93554919
1721062500,-0.008284139352,1.934720776
1721062500,1.350658253,2.069786601
1721062501,-0.1135864189,2.058427959
1721062501,-1.192631295,1.93916483
1721062501,-0.6506707691,1.874097753
1721062501,0.7693059849,1.951028352
1721062501,0.0001784417095,1.951046196
1721062501,0.1994905325,1.970995249
1721062501,-0.3668155868,1.93431369
1721062501,-1.441677624,1.790145928
1721062501,-1.020036909,1.688142237
1721062501,-0.2898675818,1.659155479
1721062502,0.05146101599,1.66430158
1721062502,-0.1796430553,1.646337275
1721062502,-0.06625100686,1.639712174
1721062502,0.8547344339,1.725185618
1721062502,0.009919451658,1.726177563
1721062502,-0.7570440401,1.650473159
1721062502,-0.6679059419,1.583682564
1721062502,-0.2268042626,1.561002138
1721062502,0.4172142198,1.60272356
1721062502,-0.5040928563,1.552314275
1721062503,-0.3364586625,1.518668408
